"Община","Име на атракция","Вид на атракция","Собственост","Статут","Достъпност за посещение","Местоположение","Транспортна достъпност и връзки","Видимост и ориентация","Среда","Туристическа инфраструктура","Съпътстващи атракции","Публични услуги","Интернет ресурси"
"Кърджали","СРЕДНОВЕКОВЕН МОСТ","-","-","-","Безплатно, целогодишно, наличие на екскурзоводи","с. Ненково","Естествен горски път, редовна автобусна линия до близките села","","Природна","Места за настаняване","-","-",""
"Кърджали","РЕГИОНАЛЕН ИСТОРИЧЕСКИ МУЗЕЙ","Културен институт. Архитектурно- строителен паметник, недвижима културна ценност","Акт за публична държавна собственост № 2209/16.12.2008г.","Национално значение","Платено, целогодишно, наличие на екскурзоводи","гр. Кърджали, ул. Републиканска № 4","Път от републиканската и общинска пътна мрежа","","Градска","Места за настаняване","-","-",""
"Кърджали","КАМЕННИТЕ ГЪБИ","Природна забележителност","-","Местно значение. Обявена за природна забележителност със Заповед № 1427/13.05.1974г. С цел опазването на скалните образувания. Защитената територия има площ 3 ха","Безплатно, целогодишно, без екскурзоводи","с. Бели пласт","Път от републиканската и общинска пътна мрежа","","Природна","Места за настаняване","-","-",""
"Кърджали","КАМЕННАТА СВАТБА","Природна забележителност","няма документ за собственост","Местно значение. Обявена за природна забележителност със Заповед № 1427/13.05.1974г. На Министерство на горите и опазване на природната среда, ДВ № 44/07.06.1974г.","Безплатно, целогодишно, без екскурзоводи","с. Зимзелен","Път от републиканската и общинска пътна мрежа","СРЗ","Природна","Места за настаняване","-","-",""
"Кърджали","СКАЛЕН ПРОЗОРЕЦ","Природна забележителност","Няма документ за собственост","Местно значение. Обявен за защитет природен обект със Заповед № 415/12.06.1979г. И заема площ от 2 дка","Безплатно, целогодишно, без екскурзоводи","с. Костино","Пешеходна еко пътека, редовна автобусна линия за с. Косдтино","Намира се в м. Големия дол на с. остино","Природна","Места за настаняване","-","-",""
"Кърджали","НАХОДИЩЕ НА РОДОПСКИ СИЛИВРЯК","Природна забележителност","Няма документ за собственост","Местно значение. Обявен за защитет природен обект с площ 3.4 ха","Безплатно, целогодишно, без екскурзоводи","с. Прилепци","Пешеходна еко пътека","","Природна","Места за настаняване","-","-",""
"Кърджали","СРЕДНА АРДА","Защитена местност","Няма документ за собственост","Местно значение, Защитета местност с площ 420 ха и е обявена по предложение на БЗДП със Заповед № 380/24.07.2000г.","Безплатно, целогодишно, без екскурзоводи","с. Звезделина","Пешеходна еко пътека, редовна автобусна линия за с. Звезделина","Намира се в землището на селата Звезделина и Висока поляна","Природна","Места за настаняване","-","-",""
"Кирково","МИКРОЯЗОВИРНА ХИЖА ХВОЙНОВА ПОЛЯНА","туристически комплекс","","местно значение","да","с. Горно Къпиново","достъпен с лек автомобил","да","Природна","Места за настаняване","-","-",""
"Кърджали","ЮМРУК СКАЛА","Защитена местност","Няма документ за собственост","Местно значение, Защитета местност обявена по предложение на БЗДП","Безплатно, целогодишно, без екскурзоводи","с. Калоянци","Естествен горски път, редовна автобусна линия до с. Калоянци","","Природна","Места за настаняване","Няма","Няма",""
"Кърджали","НАХОДИЩЕ НА РОДОПСКА ГОРСКА МАЙКА","Защитена местност","-","Местно значение, Защитета местност обявена със Заповед № 542/23.05.1984г. С цел опазаване на находището","Безплатно, целогодишно, без екскурзоводи","с. Перперек","Пешеходна еко пътека и редовна автобусна линия","В землището на с. Перперек","Природна","Места за настаняване","-","-",""
"Кърджали","НАХОДИЩЕ НА ВЕНЕРИН КОСЪМ","Защитена местност","Няма документ за собственост","Местно значение, Защитета местност обявена със Заповед № 1114/03.12.1981г. С цел опазаване на находището","Безплатно, целогодишно, без екскурзоводи","м. Кьош дере, западно от Кърджали, на 0.5 км от устието на р. Арда","Пешеходна екопътека","","Природна","Места за настаняване","-","-",""
"Кърджали","РЕДЖЕБ ТАРЛА","Водопад","Няма документ за собственост","Местно значение, Защитена та територия е с площ от 0.1 ха, обявена със Заповед № 3796/11.10.21965г.","-","с.Чилик","Редовна автобусна линия до с. Чилик","Намира се в землището на с. Чилик.","Природна","Места за настаняване","-","-",""
"Кърджали","СРЕДНОВЕКОВЕН МАНАСТИР СВЕТИ ЙОАН ПРОДРОМ","Археологически обект, Недвижима културна ценност","Публична държавна собственост, предоставена за стопанисване от Пловдивската Св. Митрополия с решение на МС от 2009г.","Национално значение, ДВ, бр. 67/1968г.","Безплатно, целогодишно, без екскурзоводи","гр. Кърджали 6600, кв. Веселчане","Път от републиканската и общинска пътна мрежа","СРЗ","Градска","Места за настаняване","-","-",""
"Кърджали","ДЕТСКА ЖЕЛЕЗНИЦА","-","","","-","гр.Кърджали, парк Простор","-","","-","Места за настаняване","-","-",""
"Кърджали","АСТРОНОМИЧЕСКА ОБСЕРВАТОРИЯ","Обсерватория","","","-","гр.Кърджали, парк Простор","-","","-","Места за настаняване","-","-",""
"Кърджали","ЯЗОВИР КЪРДЖАЛИ","Язовир","","","-","-","-","","-","Места за настаняване","-","-",""
"Крумовград","КЪЩА МУЗЕЙ","Недвижим паметник на културата, музейна сбирка.","Публична общинска собственост - № 15/02.07.2002 г.","Паметник на културата от местно значение – Декларационно писмо № 630/24.02.1982 г.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","гр.Крумовград, пл.България № 18","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","В центъра на града, до съдебната палата","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ДЖАМИЯ СЕЙТЛЯР ДЖАМИСИ","Недвижим паметник на културата, действащ религиозен храм.","Мюсюлманско вероизповедание","Паметник на културата от местно значение - Декларационно писмо № 5434/16.05.2002 г.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","гр.Крумовград, ул.Съединение № 6","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км СЗ от центъра на гр.Крумовград.","Градска","Места за настаняване","Няма","Има",""
"Кирково","ЛЪВЪТ","Природна забележителност","","Местно значение","Да","с. Бенковски","достъпен с лек автомобил","да","Природна","Места за настаняване","-","-",""
"Кирково","ПЕЩЕРИ","Природна забележителност","","Местно значение","Да","с. Кремен","трудно достъпен","да","Природна","Места за настаняване","-","-",""
"Крумовград","ТЮТЮНЕВИ СКЛАДОВЕ","Недвижим паметник на културата","-","Групов паметник на културата от местно значение - Декларационно писмо № 5434/16.05.2002 г.","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул. Съединение № 1 и ул. Д.Благоев № 2","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км СЗ от центъра на гр.Крумовград.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ЦЪРКВА СВЕТИ ИВАН РИЛСКИ","Недвижим паметник на културата, действащ религиозен храм.","Църковно настоятелство","Паметник на културата от местно значение - Декларационно писмо № 5434/16.05.2002 г.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","гр. Крумовград, ул. Д. Благоев № 11","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км И от центъра на гр.Крумовград.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","СРЕДНОВЕКОВНА ЦЪРКВА","Недвижим паметник на културата","-","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, пл. България","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км СЗ от центъра на гр.Крумовград, до джамията.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","УЧАСТЪК ОТ КРЕПОСТНА СТЕНА","Недвижим паметник на културата","-","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, пл. България","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км СЗ от центъра на гр.Крумовград, до джамията.","Градска","Места за настаняване","Няма","Има",""
"Кирково","ПОЛСКИ БРЯСТ","Природна забележителност","","Местно значение","Да","с. Чакаларово","достъпен с лек автомобил","да","Градска","Места за настаняване","Има","Има",""
"Кирково","ПЪРНАРИТЕ","Природна забележителност","","Местно значение","Да","с. Каялоба","леснодостъпен","да","Природна","Места за настаняване","-","-",""
"Кирково","СЛОНЪТ","Природна забележителност","","Местно значение","Да","с. Каялоба","Леснодостъпен","да","Природна","Места за настаняване","-","-",""
"Крумовград","ПАМЕТНИК НА КАПИТАН ПЕТКО ВОЙВОДА","Паметник","Общинска публична собственост.","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул.Княз Борис І до № 45","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,4 км ЮИ от центъра на града, от лявата страна на пътя Кърджали – Ивайловград.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА УБИТИТЕ ОПЪЛЧЕНЦИ","Паметник","Общинска публична собственост.","","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул. Димитър Благоев","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","В района на бившия казармен терен","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНА ПЛОЧА НА ЕМИЛ КОЛЕВ","Паметник","Общинска публична собственост.","","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул. Съединение № 7","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,1 км СЗ от центъра на града, срещу джамията","Градска","Места за настаняване","Няма","Има",""
"Крумовград","БЮСТ ПАМЕТНИК НА ВАСИЛ ЛЕВСКИ","Паметник","-","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул.Опълченска № 1","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,5 км С от центъра на града, в двора на СОУ “В.Левски”","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА МАЙКА БЪЛГАРИЯ","Паметник","Общинска публична собственост.","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, пл.България","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,5 км ЮИ от центъра на града, срещу сградата на БДСК.","Градска","Места за настаняване","Няма","Има",""
"Долна баня","Баня-хамам „Римска баня”","Недвижими културни ценности - архитектурен паметник на културата","Публична общинска собственост - АОС № 642/28.03.2012 г.","Паметник на културата","Целогодишно след предварително обаждане в община Долна баня; Достъп за хора с увреждания.","гр. Долна баня, кв. 69, ул. ""Простор"". Град Долна баня се намира в Югозападна България на 640 м н.в. в живописната Долнобанска котловина, край десния бряг на река Марица. На юг се загражда от северните склонове на Рила планина, а на север опира в подножието на Септемврийски рид.Отстои на около 80 км от София и Пловдив, на 19 км от Боровец и на 8 км от жп гара Костенец.","Второкласен път Е-82 и четвъртокласна/общинска пътна мрежа за вътрешно транспортно обслужване. Обществен транспорт от/до гр.София, Костенец, Ихтиман, Пловдив, Благоевград, др.","","Градска","Места за настаняване","Има","Има",""
"Крумовград","ПАМЕТНИК НА ХАН КРУМ","Паметник","Общинска публична собственост.","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, пл.България","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","В центъра на града","Градска","Места за настаняване","Няма","Има",""
"Крумовград","БЮСТ ПАМЕТНИК НА ХРИСТО СМИРНЕНСКИ","Паметник","-","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","гр.Крумовград, ул.Съединение № 23","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","На 0,5 км ЮИ от центъра на града, в двора на Професионална гимназия по транспорт","Градска","Места за настаняване","Няма","Има",""
"Крумовград","КОМПЛЕКС ЦЪРКВА СВЕТИ ПРОРОК ИЛИЯ И УЧИЛИЩЕ","Недвижим паметник на културата","Църковно настоятелство","Групов паметник на културата от местно значение - Декларационно писмо № 6160/02.12.1986 г.","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Аврен, община Крумовград","Път от републиканска пътна мрежа, улична мрежа, редовна транспортна връзка.","В центъра на с. Аврен.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА ЗАГИНАЛИТЕ ПРЕЗ 1913 ГОДИНА","Паметник","-","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Аврен, община Крумовград","Път от републиканската пътна мрежа, улична мрежа, редовна транспортна връзка.","В центъра на с.Аврен.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА ЗАГИНАЛИТЕ В ОТЕЧЕСТВЕНАТА ВОЙНА","Паметник","Общински поземлен фонд","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Голям Девесил","Път от общинска пътна мрежа, редовна транспортна връзка.","Вв м.Лелек дере, на 1 км. преди с.Голям Девисил, от лявата страна на пътя Крумовград Егрек.","Природна","Места за настаняване","Няма","Има",""
"Кирково","ТЮРКЯН ЧЕШМА","Туристически комплекс","","Местно значение","Да","с. Могиляне","Достъпен с лек автомобил","да","Градска","Места за настаняване","-","-",""
"Кирково","ДЖАМИЯ","Туристически комплекс","Джамийско настоятелство","Местно значение","Да","с. Бенковски","Достъпен с лек автомобил","да","Градска","Места за настаняване","-","Има",""
"Кирково","ИЗВОРИ БАНИЧКИТЕ","Природна забележителност","","Местно значение","Да","с. Кирково","-","да","Природна","Места за настаняване","-","-",""
"Крумовград","РИМСКИ МОСТ","Недвижим паметник на културата","-","Паметник на културата от местно значение – Декларационно писмо № 630/24.02.1982 г.","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Егрек","Път от общинска пътна мрежа, улична мрежа, редовна транспортна връзка.","В Долна махала на с.Егрек, на 50 м. от кметството","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ВОДЕНИЦИ 5 БРОЯ","Недвижим паметник на културата","Частна","Паметник на културата от местно значение – Декларационно писмо № 630/24.02.1982 г.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Егрек","Път от общинска пътна мрежа, улична мрежа, редовна транспортна връзка.","В Централна махала, Долна махала и Горна махала на с.Егрек,","Градска","Места за настаняване","Няма","Има",""
"Крумовград","НЕКРОПОЛ ОТ ДОЛМЕНИ","Недвижим паметник на културата","ДГФ","Паметник на културата от национално значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Черничево","Естествен горски път, транспортна връзка – МПС.","На 6,5 км СИ от селото, в м.Хамбар дере.","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","ЦЪРКВА СВЕТИ АТАНАСИЙ","Недвижим паметник на културата","Църковно настоятелство","Паметник на културата от местно значение - Декларационно писмо № 6160/02.12.1986 г.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Черничево","Път от общинска пътна мрежа, улична мрежа, редовна транспортна връзка","В центъра на с.Черничево.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА ЗАГИНАЛИТЕ ПРЕЗ 1912 -1913 ГОДИНА","Паметник","Общинска публична собственост.","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Черничево","Път от общинска пътна мрежа, улична мрежа, редовна транспортна връзка","В центъра на с.Черничево.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНИК НА Л-Т МЛАДЕН КАЛЕЕВ","Паметник","-","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Черничево","Път от общинска пътна мрежа, улична мрежа, редовна транспортна връзка","В двора на училището.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАМЕТНА ПЛОЧА НА Л-Т КАЛЕЕВ И Р-К РУСЕВ","Паметник","ОПФ","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Черничево","Път от общинска пътна мрежа, редовна транспортна връзка","На 1 км преди селото, от лявата страна на пътя Крумовград - Черничево.","Градска","Места за настаняване","Няма","Има",""
"Крумовград","ПАРАКЛИС","Религиозен обект","-","-","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Стражец","Път от общинска пътна мрежа, транспортна връзка – МПС.","От лявата страна на пътя Крумовград – Горни Юруци, на 1 км. преди селото.","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","СКАЛНА ГРОБНИЦА","Недвижим паметник на културата","ОПФ","Паметник на културата от национално значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Рогач","Път от републиканска пътна мрежа, редовна транспортна връзка.","На 0,1 км Ю от мах.Кирик, 50 м Ю от автобусната спирка за махалата.","Природна","Места за настаняване","Няма","Има",""
"Крумовград","ДЖЕЛОВО НАХОДИЩЕ НА ТУРСКА ЛЕСКА","Природен обект","ДГФ","-","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Перуника","Път от републиканска пътна мрежа и пешеходна пътека, редовна транспортна връзка.","От лявата страна на пътя Крумовград – Ивайловград, срещу разклона за с.Перуника","Природна","Места за настаняване","Няма","Има",""
"Крумовград","МАНДРАТА ВОДОПАД НА Р.ТАШБУНАР ДЕРЕ","Природен обект","Публична държавна собственост","Природна забележителност - Заповед № 3796/11.10.1965 год.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","р.Ташбунар дере, с.Чал","Естествен горски път, транспортна достъпност – МПС.","В землището на с.Чал, на река Ташбунар дере","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","ДЖАМИЯ КОЮНОЛЛАР ДЖАМИСИ","Религиозен обект","Мюсюлманско вероизповедание","-","Безплатно, целогодишно, без екскурзовод, с достъп за хора с увреждания.","с.Чал","Път от републиканска пътна мрежа, редовна транспортна връзка.","По пътя Крумовград – Ивайловград, на 2 км след с.Чал","Природна","Места за настаняване","Няма","Няма",""
"Кирково","ВЕКОВЕН ЗИМЕН ДЪБ","Природна забележителност","","Местно значение","Да","с. Бенковски","Леснодостъпен","Да","Природна","Места за настаняване","-","-",""
"Крумовград","СКАЛНИ НИШИ","Недвижим паметник на културата","ДГФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Луличка","Естествен горски път, транспортна достъпност – МПС.","На 1,8 км ЮИ от с.Луличка","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНИ НИШИ","Недвижим паметник на културата","ДГФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Вранско","Естествен горски път, транспортна достъпност – МПС.","В м.”Топчолар дереси” на 2,4 км. З от кметството","Природна","Места за настаняване","Няма","Има",""
"Крумовград","ТРАКИЙСКО КУЛТОВО МЯСТО","недвижим паметник на културата","ДГФ","паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","да, безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Ковил, община Крумовград, имот № 011331 по КВС в землището на с.Ковил,мах.Бараци, общ.Крумовград,","естествен горски път, редовна транспортна връзка.","в м.Ак кая, 1,8 км. ЗЮЗ от кметството","природна среда","Места за настаняване","няма.","ТИЦ – няма, магазини и други услуги в близост до обекта – достатъчен брой от различни видове.",""
"Крумовград","НЕКРОПОЛ ОТ СКАЛНИ ГРОБОВЕ","Недвижим паметник на културата","ДГФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Ковил","Естествен горски път, редовна транспортна връзка.","В м.Ак кая, 1,8 км. ЗЮЗ от кметството","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНИ НИШИ","Недвижим паметник на културата","ОПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Естествен горски път, редовна транспортна връзка.","мах.Кълвач, м.”Ятак кая”, на 2,5 км С от селото и на 0,3 км ЮИ от махалата, на десния бряг на Бобалар дере","Природна","Места за настаняване","Няма","Има",""
"Кирково","ПАМЕТНА ПЛОЧА ЧЕШМА В ЧЕСТ НА ЗАГИНАЛИТЕ В ОТЕЧЕСТВЕНАТА ВОЙНА 1941 1945 Г.","Военен паметник","","Местно значение","Да","с. Кирково","Достъпен с лек автомобил","Да","Градска","Места за настаняване","-","-",""
"Кирково","ПАМЕТНИК В ЧЕСТ НА ЗАГИНАЛИТЕ В БАЛКАНСКАТА ВОЙНА ПРЕЗ 1912 Г.","Военен паметник","","Местно значение","Да","местност Маказа","Достъпен с лек автомобил","Да","Природна","Места за настаняване","-","Няма",""
"Крумовград","СКАЛНИ НИШИ","Недвижим паметник на културата","ДГФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Естествен горски път, редовна транспортна връзка.","мах.Кълвач, м.”Казан”, на 1,3 км СИ от кметството, на 0,4 км СИ от мах.Кълвач и на 0,8 км И от мах.Рътлина","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНА ГРОБНИЦА","Недвижим паметник на културата","ОПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Път от републиканска пътна мрежа, редовна транспортна връзка.","На 0,2 км СЗ от училището","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНА ВИНАРНА ШАРАПАНА","Недвижим паметник на културата","ОПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Път от републиканска пътна мрежа, редовна транспортна връзка.","На 0,2 км СЗ от училището","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНА ВИНАРНА ШАРАПАНА","Недвижим паметник на културата","ДПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Път от републиканска пътна мрежа, редовна транспортна връзка.","На 0,2 км СЗ от училището","Природна","Места за настаняване","Няма","Има",""
"Крумовград","ТРАКИЙСКО КУЛТОВО МЯСТО","Недвижим паметник на културата","ДПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Естествен горски път, редовна транспортна връзка.","м.Тапеджур тепе, на 0,75 км Ю от кметството","Природна","Места за настаняване","Няма","Има",""
"Николаево","АСАРА","Разкопки на крепост","Общинска","Няма, кандидатстват за установяване","Достъпно, целогодишно","северно от Николаево","Път и планинска пътека","Има видимост от всички посоки","Природна","Места за настаняване","Няма","Няма",""
"Джебел","АНТИЧНА СКАЛНА ГРОБНИЦА ХАМБАР КАЯ","Паметник на културата","Държавна собственост","Паметник на културата с национално значение","Не","с. Воденичарско","Няма","Няма","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","ВОДОПАДА","Природен обект","ДПФ","Природна забележителност - Заповед № 3796/11.10.1965 год.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Джанка","Естествен горски път, транспортна достъпност – МПС.","мах.Рътлина, на р.Душан дере между мах.Язовец и мах.Рътлина","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНИ НИШИ","Недвижим паметник на културата","ДГФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Морянци","Баластриран общински път, транспортна достъпност – МПС.","мах.Речна, м.Къс кая, на 0,3 км ЮЗ от мах.Речна и на 1 км ИЮИ от с.Поточница, по пътя за мах.Кулич","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","СКАЛНА ГРОБНИЦА","Недвижим паметник на културата","ДПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Поточница","Естествен горски път, редовна транспортна връзка.","мах.Ключар, м.Капаклъ (Кариерата), на 0,5 км И от кметството","Природна","Места за настаняване","Няма","Има",""
"Крумовград","СКАЛНА ГРОБНИЦА","Недвижим паметник на културата","ДПФ","Паметник на културата от местно значение (ДВ бр.65/12.08.1994 год.)","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Поточница","Естествен горски път, редовна транспортна връзка.","мах.Ключар, м.Капаклъ (Кариерата), на 0,5 км И от кметството","Природна","Места за настаняване","Няма","Има",""
"Крумовград","ДУШАН","Природен обект","Публична държавна собственост","Природна забележителност - Заповед № 3796/11.10.1965 год.","Безплатно, целогодишно, без екскурзовод, без достъп за хора с увреждания.","с.Красино","Естествен горски път, транспортна достъпност - МПС.","мах.Язовец, на р.Душан дере, между с.Джанка и мах.Язовец","Природна","Места за настаняване","Няма","Няма",""
"Опан","НАДГРОБНА МОГИЛА ПРИ ЕРГЕЦИТЕ ЮЖНО","Недвижима културна ценност","Общинска","Паметник на културата","Безплатно","с. Бащино","Общински път","Добра","Природна","Места за настаняване","Няма","Няма",""
"Опан","СЛАМЕНОВА МОГИЛА В ЕСКИ КОРИЯ","Недвижима културна ценност","Общинска","Паметник на културата","Безплатно","с. Васил Левски","Общински път","Добра","Природна","Места за настаняване","Няма","Няма",""
"Опан","ЛЕКО МАЛАМОВАТА МОГИЛА","Недвижима културна ценност","Общинска","Паметник на културата","Безплатно","с. Средец","Общински път","Добра","Природна","Места за настаняване","Няма","Няма",""
"Крумовград","РЕЗЕРВАТ ВЪЛЧИ ДОЛ","Резерват","Публична държавна собственост","Резерват - Заповед № 877/25.11.1980 г.","Безплатно, целогодишно, с водач, без достъп за хора с увреждания.","с.Студен кладенец","Баластриран път, пешеходна пътека и екопътека, редовна транспортна връзка.","В землищата на с.Студен кладенец, с.Стари чал и с.Бойник, южно от яз.”Студен кладенец”","Природна","Места за настаняване","Няма","Има",""
